# Desc: Fix number of operations and scale bliim filter size
# N=10000000
# timestamp=2022-10-12-12:22:36
#pages   regular (ops/s)    hierarchal (ops/s)
1   2481389.578164 2985074.626866
2   2475247.524752 2985074.626866
3   2481389.578164 2985074.626866
4   2506265.664160 2985074.626866
5   2450980.392157 2949852.507375
7   2481389.578164 2985074.626866
8   2439024.390244 2932551.319648
9   2493765.586035 2941176.470588
10   2444987.775061 2958579.881657
15   2481389.578164 2976190.476190
20   2463054.187192 2932551.319648
25   2487562.189055 2976190.476190
