# Desc: Fix number of operations and scale bliim filter size
# N=10000000
# timestamp=2022-10-13-15:10:10
#pages   regular (ops/s)    hierarchal (ops/s)
1   2293577.981651 2898550.724638
2   2375296.912114 2824858.757062
3   2358490.566038 2824858.757062
4   2309468.822171 2857142.857143
5   2358490.566038 2840909.090909
6   2386634.844869 2857142.857143
7   2352941.176471 2941176.470588
8   2380952.380952 2881844.380403
9   2293577.981651 2898550.724638
10   2242152.466368 2865329.512894
15   2257336.343115 2906976.744186
20   2320185.614849 2840909.090909
25   2375296.912114 2840909.090909
