# Desc: Fix number of operations and scale bliim filter size
# N=10000000
# timestamp=2022-10-13-15:21:34
#pages   regular (ops/s)    hierarchal (ops/s)
1   2277904.328018 2849002.849003
2   2320185.614849 2890173.410405
3   2375296.912114 2881844.380403
4   2364066.193853 2865329.512894
5   2309468.822171 2832861.189802
6   2298850.574713 2840909.090909
7   2309468.822171 2840909.090909
8   2320185.614849 2754820.936639
9   2398081.534772 2932551.319648
10   2262443.438914 2785515.320334
15   2347417.840376 2785515.320334
20   2347417.840376 2710027.100271
25   2336448.598131 2652519.893899
