# Desc: Fix number of operations and scale bliim filter size
# N=10000000
# timestamp=2022-10-12-02:05:04
#pages   regular (seconds)    hierarchal (seconds)
1   8.300000  6.740000
100   8.950000  7.170000
1000   9.730000  7.480000
2000   10.020000  7.520000
3000   10.230000  7.640000
4000   10.530000  7.940000
5000   11.810000  8.500000
6000   11.780000  8.990000
7000   12.900000  9.860000
8000   14.900000  10.920000
9000   14.170000  11.050000
