# Desc: Find false positive rate as n/m varies (fix n)
# N=2000000
# timestamp=2022-10-12-13:36:47
#n/m  regular    hierarchal
2.015233   0.802934 0.999993
3.014657   0.485309 0.483890
4.014081   0.260055 0.802390
5.013505   0.135949 0.138218
6.012929   0.072663 1.000000
7.012353   0.039949 0.041575
8.011777   0.022593 0.263087
9.011201   0.013432 0.014404
10.010625   0.008245 0.643020
11.010049   0.005176 0.005666
12.009473   0.003302 0.075518
13.008897   0.002179 0.002453
14.008321   0.001507 0.877085
15.007745   0.000988 0.001199
