# Desc: Find false positive rate as n/m varies (fix n)
# N=2000000
# timestamp=2022-12-04-14:08:45
#n/m  standard    hierarchal
2.015233   0.802811 0.999993
3.014657   0.484968 0.483890
4.014081   0.260245 0.802390
5.013505   0.136305 0.138218
6.012929   0.072839 1.000000
7.012353   0.040100 0.041575
8.011777   0.022832 0.263087
9.011201   0.013347 0.014404
10.010625   0.008058 0.643020
11.010049   0.005142 0.005666
12.009473   0.003384 0.075518
13.008897   0.002133 0.002453
14.008321   0.001479 0.877085
15.007745   0.000980 0.001199
16.007169   0.000702 0.024165
17.006593   0.000478 0.000615
18.006017   0.000356 0.192848
19.005441   0.000253 0.000325
20.004865   0.000189 0.008974
