# Desc: Fix number of operations and scale bliim filter size
# N=
# timestamp=2022-10-12_02:26:57
#n   regular (seconds)    hierarchial (seconds)
1000000    0.440000    0.350000
2000000    0.920000    0.730000
3000000    1.380000    1.090000
4000000    1.950000    1.530000
5000000    2.330000    1.840000
6000000    2.800000    2.210000
7000000    3.350000    2.650000
8000000    3.760000    2.990000
9000000    4.300000    3.370000
10000000    4.870000    3.720000
13000000    6.330000    4.830000
14000000    6.980000    5.310000
15000000    7.400000    5.630000
16000000    7.810000    5.990000
