# Desc: Fix number of operations and scale bliim filter size
# N=10000000
# timestamp=2022-10-12-10:10:39
#pages   regular (seconds)    hierarchal (seconds)
1   8.140000  6.700000
10   8.030000  6.680000
50   8.260000  6.750000
100   8.820000  7.140000
200   9.210000  7.210000
300   9.190000  7.260000
400   9.290000  7.270000
500   9.330000  7.310000
600   9.360000  7.300000
700   9.540000  7.380000
800   9.500000  7.410000
900   9.540000  7.390000
1000   9.610000  7.420000
