# Desc: Fix number of operations and scale bliim filter size
# N=10000000
# timestamp=2022-10-13-15:13:30
#pages   regular (ops/s)    hierarchal (ops/s)
1   2217294.900222 2808988.764045
2   2309468.822171 2849002.849003
3   2325581.395349 2816901.408451
4   2304147.465438 2816901.408451
5   2222222.222222 2840909.090909
6   2358490.566038 2785515.320334
7   2375296.912114 2702702.702703
8   2237136.465324 2824858.757062
9   2320185.614849 2865329.512894
10   2364066.193853 2890173.410405
15   2309468.822171 2732240.437158
20   2309468.822171 2717391.304348
25   2386634.844869 2865329.512894
