# Desc: Fix number of operations and scale bliim filter size
# N=10000000
# timestamp=2022-12-04-13:40:41
#pages   standard (ops/s)    hierarchal (ops/s)
1   2475247.524752 3021148.036254
2   2475247.524752 2985074.626866
3   2450980.392157 2994011.976048
4   2457002.457002 2985074.626866
5   2481389.578164 2958579.881657
6   2469135.802469 3021148.036254
7   2433090.024331 3021148.036254
8   2469135.802469 3030303.030303
9   2457002.457002 2976190.476190
10   2439024.390244 2915451.895044
15   2481389.578164 3021148.036254
20   2469135.802469 3003003.003003
25   2444987.775061 2976190.476190
