# Inserts,# Queries,Size (Pages),Regular Time (seconds),Hierarchial (seconds)
10000000,10000000,31,8.210000,6.670000
10000000,10000000,123,9.150000,7.160000
10000000,10000000,214,9.340000,7.260000
10000000,10000000,306,9.260000,7.240000
10000000,10000000,397,9.660000,7.430000
10000000,10000000,489,9.350000,7.310000
