# Inserts,# Queries,Size (Pages),Regular Time (seconds),Hierarchial (seconds)
10000000,10000000,31,8.350000,6.750000
10000000,10000000,92,8.860000,7.060000
10000000,10000000,153,9.250000,7.220000
10000000,10000000,214,9.380000,7.280000
10000000,10000000,275,9.700000,7.280000
10000000,10000000,336,9.540000,7.330000
