# Inserts,# Queries,Size (Pages),Regular Time (seconds),Hierarchial (seconds)
5000000,5000000,153,4.560000,3.680000
5000000,5000000,1526,4.800000,3.790000
5000000,5000000,15259,8.480000,6.840000
5000000,5000000,21516,9.810000,7.310000
