# Inserts,# Queries,Size (Pages),Regular Time (seconds),Hierarchial (seconds)
10000000,10000000,31,8.090000,6.760000
10000000,10000000,153,9.200000,7.300000
10000000,10000000,275,9.190000,7.290000
10000000,10000000,397,9.580000,7.360000
10000000,10000000,519,9.370000,7.320000
10000000,10000000,641,9.370000,7.530000
